week,FR,BE,DE,CH,IT,ES,UK
201948,0.709219072,0.852921536,0.969734355,0.991450472,0,0.801600674,0.831223629
201949,0.742261999,0.852921536,0.965403192,0.98879717,0,0.851024993,0.75916056
201950,0.736464438,0.849916528,0.958735825,0.984964623,0,0.851165403,0.736064846
201951,0.78604467,0.852086811,0.956688367,0.889150943,0,0.9971918,0.751276926
201952,0.798146681,0.850250417,0.924742755,0.802181604,0,0.99705139,0.773040195
202000,0.840035848,0.687105351,0.987233005,0.993752055,0,0.995235426,0.774039529
202001,0.882124817,0.687437687,0.984886803,0.994738573,0,0.995515695,0.761714413
202002,0.887779045,0.686440678,0.983363296,0.993752055,0,0.996356502,0.769487009
202003,0.854375102,0.686606846,0.987293946,0.996711608,0,0.996636771,0.775705085
202004,0.829460649,0.686440678,0.97830525,0.991450181,0,0.996496637,0.774594715
202005,0.876128401,0.685942173,0.984673512,0.993094377,0,0.995795964,0.701865423
202006,0.829281408,0.685277501,0.982540601,0.992436698,0,0.995375561,0.646568954
202007,0.835962197,0.686440678,0.980742862,0.994738573,0,0.994674888,0.647124139
202008,0.785823692,0.686440678,0.984978214,0.992765538,0,0.994955157,0.590606262
202009,0.783819456,0.685111333,0.985435266,0.993094377,0,0.996216368,0.533977348
202010,0.738292325,0.683948156,0.984338341,0.992765538,0,0.995235426,0.562069731
202011,0.699543751,0.684945165,0.980834273,0.992765538,0,0.994955157,0.505551854
202012,0.683200261,0.685776005,0.823547335,0.996382769,0,0.994254484,0.497557184
202013,0.709401988,0.685443669,0.828117859,0.994409734,0,0.981502242,0.502775927
202014,0.72111781,0.683781987,0.961394314,0.989477146,0,0.809276906,0.583944037
202015,0.677171256,0.684114324,0.817971297,0.991121342,0,0.945487668,0.628914057
202016,0.640443213,0.683449651,0.813096072,0.861229859,0,0.825112108,0.695203198
202017,0.607202216,0.682951147,0.803833145,0.867148964,0,0.724775785,0.649677992
202018,0.609239042,0.683283483,0.807002042,0.865504768,0,0.609725336,0.690317566
202019,0.61138993,0.683283483,0.649776044,0.860901019,0,0.644758969,0.643237841
202020,0.604660257,0.680624792,0.768244005,0.949687603,0,0.569786996,0.643570953
202021,0.573521264,0.691758059,0.938541698,0.961196975,0,0.568946188,0.584388186
202022,0.583346912,0.737454304,0.965446845,0.948701085,0,0.708940583,0.527315123
202023,0.523839009,0.471751412,0.968554801,0.614271621,0,0.709501121,0.524983344
202024,0.52299169,0.467763377,0.797556294,0.603419928,0,0.845151345,0.564068399
202025,0.491168323,0.463941509,0.649654164,0.872410391,0,0.821608744,0.581612258
202026,0.47888219,0.617813227,0.649867455,0.604406445,0,0.985706278,0.587830335
202027,0.501156917,0.622632104,0.654224687,0.563301546,0,0.983744395,0.593604264
202028,0.542268209,0.4592888,0.79685548,0.562643867,0,0.981221973,0.592827004
202029,0.551979795,0.48105683,0.797830525,0.577441631,0,0.979960762,0.590828337
202030,0.529313997,0.480225989,0.796611719,0.557711279,0,0.978139013,0.589829003
202031,0.518689914,0.480392157,0.958347299,0.560013154,0,0.979680493,0.589829003
202032,0.545233828,0.472416085,0.953624425,0.841499507,0,0.979540359,0.564179436
202033,0.52858074,0.47557328,0.960876322,0.963498849,0,0.980100897,0.446924273
202034,0.515708001,0.480392157,0.965690606,0.977967774,0,0.981922646,0.408949589
202035,0.492308946,0.650548355,0.97050489,0.978296613,0,0.978979821,0.475793915
202036,0.496692195,0.650216019,0.971662756,0.977310095,0,0.98080157,0.520874972
202037,0.498729021,0.650548355,0.971876047,0.969746794,0,0.981221973,0.589051743
202038,0.540899462,0.651711532,0.816904842,0.984215719,0,0.982903587,0.647124139
202039,0.581342676,0.48371552,0.817331424,0.984873397,0,0.982202915,0.678214524
202040,0.618575851,0.483549352,0.819890917,0.986517593,0,0.850756726,0.685542971
202041,0.663125306,0.64107677,0.820713611,0.98783295,0,0.851877803,0.689318232
202042,0.672103634,0.655034895,0.975258235,0.98750411,0,0.85117713,0.701754386
202043,0.675639563,0.656696577,0.981413206,0.981913844,0,0.852858744,0.701754386
202044,0.713785237,0.831671652,0.832749322,0.983229201,0,0.851877803,0.697090828
202045,0.738080495,0.831173147,0.835156464,0.985859915,0,0.852017937,0.697646014
202046,0.76130031,0.66550349,0.833084494,0.989805985,0,0.995095291,0.651010437
202047,0.77785563,0.66633433,0.943630214,0.990134824,0,0.99691704,0.682211859
202048,0.77269024,0.666168162,0.994850544,0.991450181,0,0.998878924,0.719742394
202049,0.762212808,0.677799934,0.996922514,0.991450181,0,1,0.721630024
202050,0.784520124,0.740112994,0.990645663,0.748109175,0,0.999859865,0.719076171
202051,0.814420727,0.828680625,0.995399007,0.993423216,0,0.99691704,0.69398179
202052,0.82525664,0.83000997,0.992900454,0.990134824,0,0.997757848,0.682989118
